km,price
46000,284999
45000,399999
39000,599999
22000,344999
47000,699000
3200,580000
30000,855000
37000,535000
13000,1891111
14000,699000
55000,375000
46000,284999
30000,178000
50000,300000
45000,90000
45000,95000
9300,255000
55000,245000
36200,329500
50000,195000
55000,251111
45000,569999
51000,69999
19000,299999
46000,220000
33000,399999
36000,249999
22000,289999
13500,1891111
60000,499999
27000,489999
59000,489999
19000,549999
30000,380000
15000,325000
56758,57000
10000,349999
20000,689999
49000,349999
41000,410000
45000,225000
43000,120000
175430,320000
56450,59000
38000,540000
56000,80000
37000,340000
65000,75000
32700,220000
38200,159500
30000,599000
56000,80000
9000,675000
13000,1891111
13000,1891111
11000,150000
13000,1891111
46000,72500
73,610000
160000,230000
58559,175000
30000,855000
55000,375000
57000,520000
50000,524999
37000,299999
40000,299999
55000,284999
170000,220000
55000,424999
39000,644999
44000,399999
65000,199999
39000,584999
44000,349999
49000,449999
9000,799999
45000,444999
47000,649999
40000,444999
29000,689999
15000,344999
45000,944999
35000,274999
80000,689999
68000,574999
50000,374999
60000,199999
9000,549999
72000,130000
60000,210000
38000,501000
45000,401000
40000,1350000
20000,600000
35000,610000
20000,400000
25000,375000
20000,375000
20000,365000
18000,500000
35000,400000
6821,524999
23000,449999
14000,174999
38000,244999
35000,574999
22000,244999
41000,239999
45000,99999
44000,489999
45000,324999
52000,1074999
34000,230000
1800,699000
15000,1000000
400000,240000
44000,110000
60,390000
35000,501000
72000,1130000
40000,250000
80200,330000
3200,580000
48000,340000
90000,120000
12000,265000
46000,265000
69900,85000
0,379000
45000,175000
5000,219000
166000,350000
42000,149000
588,385000
122,425000
62000,150000
70000,225000
36000,375000
0,770000
55000,30000
36000,275000
38000,330000
55000,335000
20000,450000
40000,225000
50000,80000
104000,130000
65000,245000
41000,399000
90000,450000
80000,65000
46000,75000
70000,70000
36469,190000
7800,600000
65000,245000
60000,240000
32000,155000
24695,169999
15141,450000
40000,40000
65000,165000
22000,270000
59910,280000
100000,560000
25000,950000
35000,310000
65000,715000
35000,340000
33000,235000
68000,610000
23000,95000
4500,1000000
129000,220000
300,1200000
5000,230000
65000,45000
131000,940000
111111,155555
14000,1500000
22000,210000
38000,495000
70000,125000
36000,195000
34000,550000
43000,270000
40000,500000
160000,240000
12000,800000
49000,1299000
68000,530000
37000,1499000
59466,220000
97200,900000
99000,250000
25500,395000
66000,130000
44005,32000
35000,540000
35000,540000
28000,405000
30000,400000
4000,760000
28000,500000
75000,175000
97200,900000
3000,750000
20000,419000
50000,90000
2110,140000
43222,1540000
100200,275000
100000,150000
65,230000
100000,123000
97200,900000
97200,900000
140000,300000
55000,499999
48000,165000
22000,498000
103553,480000
80000,488000
99000,250000
58000,220000
70000,290000
120000,1525000
49800,548900
100,650000
81876,55000
75000,550000
50000,90000
44000,399000
55000,730000
36000,725000
56000,195000
62000,130000
120000,1525000
6020,190000
55700,250000
42000,80000
50000,120000
35000,149000
18500,250000
7000,120000
11000,450000
53000,99999
23000,135000
35500,225000
22134,99000
1000,370000
9000,52000
8500,2800000
35000,190000
22000,499000
25000,90000
40000,149000
20000,400000
87000,120000
55000,250000
23000,375000
6000,381000
65000,180000
25000,580000
39000,278000
8000,1000000
75000,690000
51000,480000
50000,85000
75000,40000
55800,90000
53000,340000
25000,260000
56400,250000
72160,180000
10000,350000
48000,90001
36000,115000
11500,1599000
133000,130000
27000,159000
35000,160000
55000,110000
40000,425000
2000,900000
45000,150000
20000,110000
88000,51999
20000,115000
65422,215000
10000,580000
35000,380000
117000,350000
150000,35000
72000,1150000
10750,300000
55000,269000
6800,60000
41000,400000
73000,430000
65000,140000
40000,1299000
37000,199000
55000,90000
140000,550000
9800,265000
27000,100000
27000,215000
20000,380000
57923,401919
30201,490000
6200,280000
37518,650000
24652,160000
383,424000
95000,225000
35000,350000
3528,950000
52500,485000
47900,205000
14000,160000
37000,310000
90000,180000
52800,549900
104000,150000
30000,175000
195000,95000
104000,230000
104000,230000
70000,180000
43000,400000
23000,185000
51000,385000
62000,90000
48008,32000
39000,435000
40000,225000
48247,189700
39000,389700
23000,365000
9400,360000
50000,210000
75000,170000
70000,380000
64000,295000
55000,185000
200000,160000
2137,290000
30000,100000
44000,315000
65000,114990
160000,120000
56000,125000
75000,210000
42000,855000
75000,210000
56000,260000
10544,95000
64000,255000
70000,300000
25000,340000
15000,550000
50000,60000
147000,750000
52000,230000
90001,130000
21000,270000
48006,280000
48006,280000
48006,280000
80000,600000
74000,190000
22000,500000
41000,1065000
25000,350000
85000,350000
29500,540000
30000,470000
57000,179000
60000,48000
50000,650000
39700,190000
65000,500000
67000,270000
46000,125000
38000,188000
27000,380000
43000,365000
47000,465000
42000,240000
19336,179999
60105,140000
29000,2190000
34000,2390000
35000,1075000
22000,475000
41000,1025000
21000,615000
48000,475000
38000,270000
34000,475000
45933,240000
68000,120000
44000,1900000
35000,360000
102563,450000
28600,900000
41800,650000
116000,275000
59000,210000
58000,175000
45000,85000
42590,1490000
7400,800000
54500,450000
200000,1000000
27000,1510000
42000,1850000
29000,790000
37000,1725000
36000,135000
34000,1000000
7000,299999
76000,1225000
60000,175000
95000,200000
50000,270000
0,525000
50000,180000
68000,140000
16000,400000
51000,499000
56000,85000
100000,70000
36000,550000
11523,370000
1000,690000
60000,250000
85000,110000
38600,490000
95500,320000
56000,68000
37458,130000
85960,970000
12516,3100000
35000,280000
0,125000
80000,285000
45000,165000
51000,250000
30000,865000
48000,390000
51000,60000
90000,215000
43000,475000
53000,899000
97000,1499000
20000,240000
55000,99000
120000,260000
0,1200000
46000,115000
43200,88000
56000,390000
42000,135000
30600,90000
38000,220000
2550,424999
47000,135000
41000,95000
62500,430000
68000,115000
50000,215000
69000,53000
48000,500000
55000,85000
25000,165000
28400,200000
28000,200000
42000,425000
29000,600000
68485,130000
3500,430000
0,568500
32000,71000
8000,560000
34000,590000
37000,750000
85455,125000
46000,135000
47000,60000
64000,120000
46000,95000
8000,240000
64000,115000
63000,795000
65000,55000
62000,300000
41000,320000
14000,265000
40000,160000
1600,300000
90000,130000
58000,250000
27000,380000
60000,42000
31000,400000
90000,120000
90000,120000
150000,130000
31000,189000
43000,365000
20000,170000
100000,215000
7000,60000
31000,599999
33000,400000
60000,900000
48000,299999
33000,374999
15000,600000
47000,70000
40000,100000
38000,150000
12500,225000
42000,210000
31000,425000
60000,162000
80000,60000
77000,650000
75000,750000
40000,375000
47000,230000
60000,35999
26500,380000
2875,560000
13900,285000
9000,2900000
80000,39999
60000,85000
20000,395000
58000,175000
1500,400000
75000,750000
2450,250000
1625,425000
45000,525000
65000,130000
33400,30000
60123,475000
28000,300000
70000,60000
7000,100000
25000,260000
100000,100000
42000,265000
20000,115000
100000,180000
137495,45000
91200,50500
55000,270000
120000,290000
63000,325000
104000,160000
146000,350000
40000,290000
40000,290000
100800,465000
150000,325000
2100,510000
95000,860000
2500,450000
80000,125000
15000,500001
65000,95000
51000,250000
45000,110000
50000,270000
30000,110000
132000,300000
27000,260000
40000,390000
